# SS10DB 주요 테이블 목록 (SS10 / SONESP / WMS)
이 자료는 신성통상 메인 DB (SS10DB)의 주요 스키마 테이블 목록을 추출한 것입니다.

| OWNER | TABLE_NAME | NUM_ROWS | TABLE_TYPE | COMMENTS |
| SONESP | CT_PCOST_RATE | 0 | TABLE |  |
| SONESP | CT_PCOST_SELL_EXPN | 0 | TABLE |  |
| SONESP | CT_PCOST_TARIF_RATE | 0 | TABLE |  |
| SONESP | CT_PCOST_TPL_CHARG | 0 | TABLE |  |
| SONESP | CT_POSTCOST_ITEMS | 0 | TABLE |  |
| SONESP | CT_POST_RELATIVE_TO_PRE | 0 | TABLE |  |
| SONESP | CT_PRDT_COL_COMPS | 0 | TABLE |  |
| SONESP | CT_PRDT_PAY_SUM_TMP | 0 | TABLE |  |
| SONESP | CT_PRDT_PLAN | 0 | TABLE |  |
| SONESP | CT_PRDT_WH_ASSORT | 0 | TABLE |  |
| SONESP | CT_PRDT_WH_DTL | 0 | TABLE |  |
| SONESP | CT_PRDT_WH_HDR | 0 | TABLE |  |
| SONESP | CT_PRECOST_ITEMS | 0 | TABLE |  |
| SONESP | CT_PRECOST_PL_LIST | 0 | TABLE |  |
| SONESP | CT_RECAP_MAT | 0 | TABLE |  |
| SONESP | CT_RECAP_MAT_INFO | 0 | TABLE |  |
| SONESP | CT_RECAP_MEMO | 0 | TABLE |  |
| SONESP | CT_RECAP_PRD | 0 | TABLE |  |
| SONESP | CT_RECAP_SHP | 0 | TABLE |  |
| SONESP | CT_RECAP_SHP_SEQ | 0 | TABLE |  |
| SONESP | CT_RECAP_SOC_CST | 0 | TABLE |  |
| SONESP | CT_RECAP_STYLE_INFO | 0 | TABLE |  |
| SONESP | CT_RECAP_STYLE_INFO_X | 0 | TABLE |  |
| SONESP | CT_RECAP_SUMMARY_INFO | 0 | TABLE |  |
| SONESP | CT_RECAP_SUMMARY_INFO_X | 0 | TABLE |  |
| SONESP | CT_SALES_FILE_RATIO | 0 | TABLE |  |
| SONESP | CT_SALES_O | 0 | TABLE |  |
| SONESP | CT_SALES_O_RATIO | 0 | TABLE |  |
| SONESP | CT_SALES_RATIO | 0 | TABLE |  |
| SONESP | CT_SECUTAG_ADJUST_DETL | 0 | TABLE |  |
| SONESP | CT_SECUTAG_ADJUST_HDR | 0 | TABLE |  |
| SONESP | CT_SECUTAG_MFAC_STOCK | 0 | TABLE |  |
| SONESP | CT_SECUTAG_REQ_DETL | 0 | TABLE |  |
| SONESP | CT_SECUTAG_REQ_HDR | 0 | TABLE |  |
| SONESP | CT_SECUTAG_TRANS_DETL | 0 | TABLE |  |
| SONESP | CT_SECUTAG_TRANS_HDR | 0 | TABLE |  |
| SONESP | CT_SEWING_DEFECT | 0 | TABLE |  |
| SONESP | CT_SEWING_FQA_DETL | 0 | TABLE |  |
| SONESP | CT_SEWING_FQA_HDR | 0 | TABLE |  |
| SONESP | CT_SIZE_ART_DETL | 0 | TABLE |  |
| SONESP | CT_SIZE_SPEC_DETL | 0 | TABLE |  |
| SONESP | CT_SIZE_SPEC_FILE | 0 | TABLE |  |
| SONESP | CT_SIZE_SPEC_HDR | 0 | TABLE |  |
